nome,cpf,idade,data,endereco,estado
DIOGO CARVALHO,078.153.294-97,83,1941-03-10,"VIADUTO PEDRO LUCAS CAVALCANTI, 49
TIRADENTES
27653-901 REZENDE / RS",MARANHÃO
SR. ANTHONY ALMEIDA,305.184.962-60,37,1987-02-03,"RUA VITOR HUGO PINTO, 21
ANCHIETA
08712074 RAMOS / RJ",BAHIA
CLARA MARTINS,397.201.856-86,77,1947-03-14,"RODOVIA ARAGÃO, 245
CONJUNTO LAGOA
61224-422 PINTO / MG",BAHIA
DR. LUIZ FELIPE CARDOSO,374.691.850-20,69,1954-07-20,"ALAMEDA DE LIMA, 65
BOA ESPERANÇA
49621639 FERNANDES DE MORAES / PE",AMAPÁ
SR. CALEBE LOPES,135.796.802-77,62,1961-10-19,"TRECHO LUCAS SALES, 24
DOM BOSCO
09228582 DA CUNHA ALEGRE / RO",CEARÁ
MIGUEL MONTEIRO,097.521.834-41,54,1969-06-27,"PASSARELA IGOR NOVAES, 89
POMPÉIA
32670-098 MARTINS / SE",ACRE
SRTA. CATARINA DA MATA,468.751.390-57,81,1942-07-05,"SÍTIO LUNA CARVALHO, 98
NOVO SANTA CECILIA
32066-338 NUNES / AM",ACRE
JOÃO GABRIEL ARAÚJO,625.904.731-25,73,1950-09-13,"ESPLANADA DE CASTRO, 4
VILA NOVA CACHOEIRINHA 1ª SEÇÃO
69704-913 PIRES / MT",RORAIMA
SR. NICOLAS AZEVEDO,036.458.921-33,35,1989-01-18,"ESTRADA DE ARAGÃO, 1
VILA BARRAGEM SANTA LÚCIA
49120-746 CAMPOS / AC",RIO DE JANEIRO
KAMILLY CALDEIRA,508.379.462-47,44,1979-07-04,"VIA GABRIELA NASCIMENTO
MADRE GERTRUDES
45044395 NASCIMENTO DO GALHO / AP",MATO GROSSO DO SUL
RENAN ARAÚJO,186.970.354-57,79,1945-03-06,"TRAVESSA VINICIUS DA MATA, 52
ALTA TENSÃO 1ª SEÇÃO
66380-981 DIAS DO CAMPO / CE",SÃO PAULO
VICENTE NASCIMENTO,054.921.378-32,63,1961-02-22,"LARGO VIEIRA
MILIONARIO
78970057 DIAS / DF",CEARÁ
ISAAC ROCHA,873.402.691-69,57,1966-11-30,"ÁREA LUCAS GABRIEL SILVEIRA, 51
ANCHIETA
55284-530 ROCHA / PE",RIO DE JANEIRO
JULIA DAS NEVES,819.402.563-05,60,1963-08-28,"JARDIM ISABELLY GOMES, 23
NOSSA SENHORA DE FÁTIMA
81186-838 DA LUZ DA SERRA / ES",PARANÁ
BRENO RODRIGUES,196.540.732-34,95,1928-10-24,"DISTRITO DE SILVEIRA
DONA CLARA
14225405 ARAÚJO / AM",MARANHÃO
ISABEL NOGUEIRA,968.502.347-65,63,1960-10-21,"TRAVESSA ANA JÚLIA DA ROCHA
MIRAMAR
01287083 FOGAÇA DO OESTE / TO",PIAUÍ
ANTHONY ARAÚJO,208.157.463-26,38,1985-09-07,"AVENIDA MILENA PIRES, 360
VILA RICA
71412995 PEREIRA / AP",TOCANTINS
SRA. MARINA DA CUNHA,067.152.389-95,55,1968-09-09,"RODOVIA MARCELO SOUZA, 25
ESTRELA
24438186 VIEIRA / RN",AMAZONAS
HELENA CARDOSO,853.471.906-39,51,1972-05-29,"PÁTIO ALEXANDRE TEIXEIRA, 243
INDAIÁ
21474228 CAVALCANTI PAULISTA / RR",PARANÁ
LUIGI NUNES,593.204.186-24,50,1973-06-17,"VIA CLARA DA ROSA, 928
CASTELO
87117-636 CALDEIRA DE CAMPOS / RR",RORAIMA
SRTA. RAQUEL DA COSTA,278.534.619-09,58,1965-05-07,"ESTAÇÃO RIBEIRO, 46
VENDA NOVA
45512787 SILVA / PB",AMAZONAS
SRA. ANA VITÓRIA OLIVEIRA,120.347.586-17,60,1963-11-01,"SÍTIO DE CAVALCANTI, 97
JULIANA
21342254 MONTEIRO DE CAMPOS / PA",SANTA CATARINA
LUIZA CAMPOS,974.281.306-03,52,1972-01-13,"CONDOMÍNIO DE RODRIGUES, 52
CONJUNTO PROVIDENCIA
93625-248 DA LUZ / SC",TOCANTINS
LUCCA DA PAZ,526.980.731-95,71,1952-04-14,"RODOVIA VIEIRA, 63
CONJUNTO TAQUARIL
85325522 PIRES / RN",TOCANTINS
NATHAN DA ROSA,907.231.564-25,31,1992-11-05,"RECANTO DE DA CONCEIÇÃO, 1
PARAÍSO
52583-232 SALES / AM",CEARÁ
LÍVIA SILVEIRA,804.125.796-85,61,1962-11-22,"SETOR DE AZEVEDO, 375
CASTANHEIRA
56381800 TEIXEIRA DAS PEDRAS / AL",MATO GROSSO DO SUL
ISABEL CAVALCANTI,492.768.130-04,54,1969-05-10,"LADEIRA PIETRA CUNHA, 13
VISTA ALEGRE
86652477 MONTEIRO / PA",PARÁ
RAFAEL NUNES,285.917.604-76,38,1985-08-28,"VEREDA DAVI LUCCA BARBOSA, 35
ESTRELA DO ORIENTE
38759-767 RODRIGUES DE GOIÁS / GO",GOIÁS
ELISA FOGAÇA,572.840.693-92,95,1928-12-13,"RODOVIA ANA JÚLIA ARAÚJO, 68
VILA REAL 2ª SEÇÃO
22775-108 DA MATA DOS DOURADOS / PE",MARANHÃO
AGATHA RAMOS,948.061.752-85,23,2000-12-03,"DISTRITO DE BARROS, 41
SUZANA
54500-129 DA ROCHA / RJ",RORAIMA
KAMILLY ROCHA,946.031.875-48,59,1964-09-19,"FEIRA CAMPOS, 17
CRUZEIRO
01967-483 RIBEIRO DE PIRES / DF",CEARÁ
ANTÔNIO DAS NEVES,435.698.712-82,40,1983-07-31,"AVENIDA VITOR HUGO CARDOSO, 34
VILA SÃO RAFAEL
96831280 DA CUNHA / SC",RIO GRANDE DO SUL
LUIZ GUSTAVO ALVES,198.506.473-10,45,1978-07-08,"RODOVIA DE SOUZA, 63
VILA NOVA DOS MILIONARIOS
81275-813 ROCHA / MS",RIO GRANDE DO SUL
EMANUELLA FERNANDES,097.184.263-96,87,1936-07-21,"RESIDENCIAL IAN DA PAZ, 6
PADRE EUSTÁQUIO
41928916 FERNANDES DE CORREIA / PR",RONDÔNIA
SRTA. ANA BEATRIZ FARIAS,431.975.068-39,62,1961-08-07,"LADEIRA DE DA PAZ, 98
JARDIM DOS COMERCIARIOS
48285699 RIBEIRO / PE",ACRE
YAGO MONTEIRO,865.279.143-00,44,1979-06-22,"LADEIRA PEREIRA, 21
BURACO QUENTE
50425764 FOGAÇA VERDE / BA",MARANHÃO
YASMIN GONÇALVES,017.459.382-14,76,1947-09-26,"ÁREA BARROS, 46
SALGADO FILHO
98637-706 ALVES DE GOIÁS / BA",PARANÁ
BRUNA NASCIMENTO,132.695.407-52,34,1989-04-13,"VEREDA LUIZ FELIPE COSTA, 70
MINASLANDIA
23088133 MORAES / DF",RORAIMA
DAVI LUIZ NOGUEIRA,873.045.912-50,97,1926-12-20,"VILA SALES, 97
PAQUETÁ
59231544 DA LUZ GRANDE / ES",PERNAMBUCO
IAN MONTEIRO,324.157.968-91,24,1999-12-11,"FAVELA ALANA RIBEIRO, 318
CASA BRANCA
79179-607 BARROS DA PRAIA / MS",CEARÁ
SRTA. HELENA SILVA,905.164.728-01,35,1988-11-14,"PARQUE FREITAS, 82
OURO MINAS
59029142 LIMA DA PRATA / AC",TOCANTINS
BÁRBARA NOVAES,038.496.512-15,88,1935-05-24,"TRECHO BRYAN DA CUNHA, 1
BETÂNIA
61163162 CORREIA VERDE / PA",AMAZONAS
SR. PEDRO LUCAS COSTELA,534.870.296-00,30,1993-08-24,"ESPLANADA MOREIRA
PINDURA SAIA
93675777 DA CUNHA DA MATA / ES",MINAS GERAIS
RAFAEL JESUS,673.105.482-80,22,2001-08-16,"CAMPO DE BARROS, 16
SILVEIRA
43534-126 DUARTE DO GALHO / DF",CEARÁ
SRA. ALÍCIA CALDEIRA,051.382.694-70,89,1934-12-04,"DISTRITO ESTHER CAMPOS, 264
APOLONIA
13908-226 SOUZA / PA",TOCANTINS
DANILO MARTINS,760.389.541-39,99,1925-03-30,"LARGO PIRES, 78
BACURAU
13125523 SALES VERDE / AP",PIAUÍ
SR. GABRIEL DA ROSA,530.641.782-53,49,1974-09-10,"CAMPO ISABELLY FREITAS
NOVO SANTA CECILIA
94562211 DA MATA / CE",ACRE
AUGUSTO TEIXEIRA,412.563.970-16,69,1954-11-15,"FAVELA MARIA NOVAES
SAVASSI
60241424 DA COSTA DAS FLORES / RR",RIO GRANDE DO SUL
ANA JULIA DA ROSA,630.549.782-65,42,1981-10-10,"TREVO MORAES, 5
CÔNEGO PINHEIRO 1ª SEÇÃO
38769-503 RAMOS DE ROCHA / SP",RIO GRANDE DO SUL
LUCCA BARBOSA,836.109.275-77,97,1926-06-12,"RUA MENDES, 337
PENHA
06179-472 SALES DO SUL / SP",MINAS GERAIS
AMANDA DA COSTA,268.935.074-29,23,2000-11-20,"LAGOA CARDOSO, 1
AMBROSINA
61793-758 DA ROCHA / SP",MATO GROSSO
DR. FRANCISCO CARDOSO,430.297.815-50,96,1927-10-30,"LAGO MAITÊ CAMPOS, 31
BRAÚNAS
72279-259 COSTA DO SUL / TO",PARANÁ
LORENA FARIAS,268.517.934-82,92,1931-04-17,"RESIDENCIAL BARBOSA, 44
ZILAH SPOSITO
26601655 ARAGÃO DE GOIÁS / AP",RIO GRANDE DO SUL
ANTHONY DA COSTA,935.287.104-97,36,1988-02-13,"RECANTO DE ROCHA, 68
CONJUNTO CALIFÓRNIA I
12467-132 JESUS DO NORTE / SE",SANTA CATARINA
CAUÃ RODRIGUES,107.286.439-87,98,1926-02-11,"VALE GUSTAVO HENRIQUE ALVES, 50
VILA MADRE GERTRUDES 4ª SEÇÃO
75200-837 CORREIA GRANDE / AL",MATO GROSSO DO SUL
ANTHONY BARBOSA,631.750.489-00,86,1937-08-19,"VILA FARIAS
VILA SATÉLITE
80983484 GONÇALVES DE FOGAÇA / RN",ALAGOAS
ANA JULIA ALMEIDA,179.386.425-09,22,2001-07-20,"FAZENDA DE PORTO, 3
SENHOR DOS PASSOS
60244655 MENDES / MA",MATO GROSSO
MILENA BARROS,314.602.985-51,73,1950-08-04,"SETOR MIGUEL PIRES, 3
ERMELINDA
63141374 PIRES / PA",RIO GRANDE DO NORTE
MURILO GOMES,759.083.641-93,99,1924-05-22,"MORRO DE CASTRO
VILA PILAR
68132710 VIEIRA DO SUL / SP",CEARÁ
DANIEL BARBOSA,812.035.469-98,28,1995-10-05,"PRAÇA FERREIRA, 764
VILA SUMARÉ
04459429 TEIXEIRA DA SERRA / CE",DISTRITO FEDERAL
DR. SAMUEL CARDOSO,039.124.687-96,47,1977-03-20,"VEREDA CAUÊ NOVAES, 14
CONJUNTO CALIFÓRNIA II
17511624 CALDEIRA / BA",DISTRITO FEDERAL
ANA LAURA SALES,863.247.190-22,78,1945-11-24,"FAZENDA DE PINTO, 42
SÃO JORGE 1ª SEÇÃO
94419954 CORREIA DE MENDES / PR",RONDÔNIA
MARIANA CUNHA,492.537.016-25,81,1942-07-24,"LOTEAMENTO LUIZ FELIPE TEIXEIRA, 87
NOVO OURO PRETO
09824175 ARAÚJO / AM",RORAIMA
SR. JOÃO GUILHERME CAVALCANTI,347.156.029-70,38,1985-09-30,"QUADRA EMANUELLA DA CONCEIÇÃO, 29
CRUZEIRO
48756-294 FOGAÇA DE CORREIA / MS",RIO GRANDE DO NORTE
KAMILLY ROCHA,365.248.907-10,63,1960-10-29,"RODOVIA DANILO COSTA, 17
ALTA TENSÃO 2ª SEÇÃO
93173-991 ALMEIDA DO OESTE / MS",PIAUÍ
GABRIEL NUNES,940.813.762-04,55,1968-11-21,"VILA STEPHANY LIMA
VISTA DO SOL
43271006 COSTA / PA",AMAZONAS
RAFAEL CORREIA,579.042.183-05,72,1952-01-03,"MORRO DE CARDOSO, 47
MARÇOLA
82157940 MELO / SE",PIAUÍ
ANA LÍVIA BARBOSA,925.164.380-60,62,1961-05-30,"LAGOA SARAH AZEVEDO
MONSENHOR MESSIAS
68691-716 NUNES / CE",PARÁ
MAITÊ TEIXEIRA,694.815.037-39,90,1933-05-11,"LOTEAMENTO OLIVEIRA, 29
CAMPONESA 1ª SEÇÃO
35499227 DA ROSA DO OESTE / PE",RIO GRANDE DO SUL
CARLOS EDUARDO SANTOS,937.815.426-37,69,1955-03-29,"LARGO NASCIMENTO, 97
DELTA
00090-218 BARBOSA / PR",RONDÔNIA
ENZO GABRIEL ARAÚJO,349.682.017-96,70,1953-09-15,Desconhecido,RIO GRANDE DO SUL
BRENO MOREIRA,184.762.950-49,40,1984-03-23,"AEROPORTO DE DAS NEVES, 7
VILA SUMARÉ
05152-623 CORREIA DAS FLORES / AL",PARANÁ
JULIA LOPES,106.893.247-31,47,1977-02-13,"CONJUNTO DE CARDOSO, 5
VILA MINASLANDIA
42663-889 CASTRO / PR",RORAIMA
ANDRÉ LIMA,645.098.123-70,79,1944-11-06,"VIADUTO CARDOSO
BELMONTE
18780-365 MONTEIRO DO CAMPO / RO",ALAGOAS
JOÃO GABRIEL BARBOSA,190.657.428-67,55,1969-02-23,"FAZENDA DE BARROS
BOA ESPERANÇA
74227859 DA COSTA / DF",AMAPÁ
Desconhecido,438.765.902-56,21,2002-04-13,"COLÔNIA MARIA VITÓRIA MOURA
AARÃO REIS
87984-967 ROCHA DE MINAS / GO",CEARÁ
JOÃO FELIPE OLIVEIRA,830.679.415-00,42,1981-10-18,"AVENIDA DE CARDOSO
MADRE GERTRUDES
39614351 PORTO DO AMPARO / RN",DISTRITO FEDERAL
SAMUEL VIEIRA,218.305.764-53,39,1984-07-02,"LAGOA LEANDRO CALDEIRA, 1
CHÁCARA LEONINA
51972-241 MENDES / MT",RORAIMA
LUCCA FERREIRA,237.984.561-19,86,1938-03-30,"ESPLANADA DE DAS NEVES, 5
ANDIROBA
55857-900 MORAES DO AMPARO / MG",PERNAMBUCO
SAMUEL CASTRO,582.630.419-70,70,1954-02-04,"PRAIA ELOAH DA MATA, 95
CACHOEIRINHA
76620-467 MELO / AL",AMAZONAS
ENZO GABRIEL MENDES,Desconhecido,56,1967-12-29,"RECANTO DE SANTOS, 155
JARDIM ALVORADA
06498-281 PINTO / PA",MINAS GERAIS
MARIA VITÓRIA TEIXEIRA,426.753.091-25,61,1962-12-16,"PRAIA CARVALHO, 7
VILA NOVA
08272068 COSTELA / PA",MATO GROSSO DO SUL
MARIA FERNANDA FARIAS,907.143.856-20,22,2001-07-18,"ÁREA DE CORREIA, 44
CHÁCARA LEONINA
16210070 NUNES DO SUL / AM",RIO GRANDE DO NORTE
FERNANDA SALES,879.354.102-32,71,1953-02-05,"VALE LORENZO ALMEIDA, 80
VILA MANTIQUEIRA
39381-620 ALVES GRANDE / PE",RIO GRANDE DO SUL
SRTA. EDUARDA NOGUEIRA,602.751.493-07,66,1958-01-13,"CHÁCARA ISADORA DAS NEVES
VILA DA AMIZADE
25121623 RIBEIRO / PB",RONDÔNIA
MAITÊ FERREIRA,016.542.973-99,65,1958-04-24,"ESTAÇÃO CUNHA
CALAFATE
29389355 ROCHA DE GONÇALVES / PR",SANTA CATARINA
CATARINA PIRES,079.186.425-11,47,1977-01-28,"LOTEAMENTO DE LIMA, 1
VILA PRIMEIRO DE MAIO
16602-243 VIEIRA DA MATA / MT",MATO GROSSO DO SUL
MANUELA DA ROCHA,839.561.470-57,74,1949-05-21,"ALAMEDA DE GONÇALVES, 79
SAUDADE
47129-674 DIAS / SP",PARAÍBA
NINA MOURA,604.173.592-25,46,1977-07-23,"QUADRA BERNARDO FERREIRA, 85
MARIETA 1ª SEÇÃO
48882-146 LIMA DE BARBOSA / PA",ACRE
PEDRO HENRIQUE VIEIRA,526.839.107-03,42,1981-08-14,"RODOVIA ALÍCIA DIAS, 58
VILA BOA VISTA
14088-768 CAMPOS DE PORTO / RR",PARANÁ
ANA CLARA CUNHA,862.953.107-02,36,1987-04-09,"RUA DE CAVALCANTI, 8
VILA DA PAZ
01240048 SOUZA DA SERRA / AC",ESPÍRITO SANTO
PIETRA SANTOS,508.672.194-67,94,1929-06-14,"ESPLANADA DE SILVA, 1
VILA PUC
06033-930 ALVES DE LOPES / GO",SANTA CATARINA
SR. THEO DA CONCEIÇÃO,284.517.309-14,25,1998-10-04,"VIADUTO DE FREITAS, 12
CENTRO
41526-260 DA CRUZ DOS DOURADOS / RR",SÃO PAULO
VINICIUS DA COSTA,023.916.457-16,65,1958-06-03,"RECANTO VALENTINA PINTO, 52
SATELITE
97787-119 MENDES DE BARBOSA / PA",SÃO PAULO
PEDRO HENRIQUE CUNHA,519.304.678-93,58,1965-06-03,"PASSARELA DE SANTOS, 501
VILA ATILA DE PAIVA
81047029 OLIVEIRA / ES",PARÁ
DAVI NOGUEIRA,564.829.170-11,74,1949-12-14,"MORRO LUCCA DA ROCHA, 40
BANDEIRANTES
05301527 NASCIMENTO / CE",TOCANTINS
LUIZ FERNANDO DA PAZ,409.816.257-11,80,1943-04-30,"PRAÇA DE DA PAZ, 5
CONJUNTO JARDIM FILADÉLFIA
17691-504 CAVALCANTI / TO",MATO GROSSO
SRTA. LETÍCIA ROCHA,137.580.942-32,76,1947-12-01,"FAZENDA JOÃO FELIPE SOUZA, 78
NOVA PAMPULHA
08184872 CUNHA / SC",SERGIPE
JOÃO NOGUEIRA,367.189.054-10,91,1933-02-22,"RODOVIA CAUÊ MONTEIRO, 50
HELIOPOLIS
61521177 MARTINS PAULISTA / CE",RIO GRANDE DO NORTE
JOÃO GABRIEL CARDOSO,962.405.713-34,53,1970-07-13,"ÁREA DE FERREIRA, 20
VILA INDEPENDENCIA 2ª SEÇÃO
75695006 MELO / AC",MINAS GERAIS
RYAN RIBEIRO,409.157.683-48,95,1928-12-18,"NÚCLEO ALMEIDA, 41
VILA SÃO PAULO
63386-457 NOVAES / PB",ALAGOAS
OLIVIA DAS NEVES,314.927.586-55,23,2001-01-27,"LAGOA DE VIEIRA, 25
PAQUETÁ
66090560 PEREIRA DO CAMPO / AL",RORAIMA
SR. LUIZ MIGUEL PINTO,942.816.507-76,55,1968-04-17,"CONJUNTO DA LUZ, 6
CHÁCARA LEONINA
95186702 SILVA / SC",SÃO PAULO
ELISA TEIXEIRA,217.439.856-73,79,1944-05-07,"LADEIRA DE RODRIGUES, 58
VILA SÃO FRANCISCO
18153-240 DA MATA / ES",RONDÔNIA
PEDRO MIGUEL DAS NEVES,523.976.081-03,59,1964-12-15,"JARDIM DE NASCIMENTO, 7
ENGENHO NOGUEIRA
72911-524 MOREIRA DO GALHO / RS",RIO DE JANEIRO
MARIA LUIZA AZEVEDO,064.253.879-47,76,1947-04-29,"QUADRA DE DA CRUZ, 42
VILA JARDIM MONTANHES
11782275 MENDES / PE",SERGIPE
LORENZO SILVA,642.397.018-13,47,1976-05-09,"CONJUNTO DE DA CRUZ, 1
MARIANO DE ABREU
82687-160 AZEVEDO DE SILVA / RJ",AMAZONAS
BIANCA SOUZA,673.295.108-40,97,1926-05-25,"COLÔNIA FRANCISCO CAMPOS, 7
VILA BETÂNIA
47223-561 DA COSTA DO GALHO / SC",BAHIA
VITOR AZEVEDO,643.978.150-20,70,1953-11-01,"LARGO DE BARBOSA
VILA NOVA GAMELEIRA 1ª SEÇÃO
37778-485 LIMA / AL",RORAIMA
ENZO GABRIEL LIMA,187.604.952-94,57,1967-01-28,"AEROPORTO REZENDE
SANTO ANTÔNIO
22751419 MELO DE PORTO / SP",SANTA CATARINA
EDUARDA CUNHA,093.821.745-32,59,1964-09-17,"CAMPO DE PINTO, 72
SANTANA DO CAFEZAL
22684962 PORTO / PI",SÃO PAULO
SRA. NICOLE DA ROCHA,367.082.149-03,79,1944-10-10,"SETOR DE FERREIRA, 742
VILA ANTENA
59176-949 SANTOS / RR",AMAZONAS
ANA CLARA SANTOS,430.629.781-04,35,1988-04-15,"LADEIRA DE SALES, 15
VILA SÃO FRANCISCO
18447153 DAS NEVES / DF",PARAÍBA
ENZO GABRIEL CASTRO,694.253.078-65,96,1927-07-11,"LADEIRA DE TEIXEIRA
SÃO GERALDO
49881-890 RODRIGUES / PB",PIAUÍ
NICOLE FERREIRA,701.839.246-22,28,1996-02-11,"AEROPORTO DUARTE, 9
FUNCIONÁRIOS
49849669 SILVA DO SUL / ES",AMAZONAS
ERICK SALES,498.357.160-48,37,1986-09-13,"TRECHO DE MARTINS, 51
VILA SANTA MONICA 1ª SEÇÃO
87398-775 NOGUEIRA ALEGRE / PR",CEARÁ
ANTHONY BARROS,742.053.618-07,42,1981-10-24,"VILA ALEXIA VIANA, 87
JARDIM ALVORADA
22732-445 MOREIRA / PA",RORAIMA
RENAN DA ROCHA,986.204.357-10,53,1971-03-08,"MORRO MELO, 463
GRAJAÚ
18981-145 DA CONCEIÇÃO / RO",TOCANTINS
MARCELA SANTOS,843.196.205-42,24,1999-12-23,"RESIDENCIAL DE ARAGÃO, 65
PLANALTO
81955-681 BARBOSA DO SUL / RN",GOIÁS
CAROLINA MELO,970.358.142-05,39,1984-06-06,"VEREDA KAMILLY DA ROSA, 80
SÃO GERALDO
58360617 CASTRO / SC",AMAPÁ
LAVÍNIA REZENDE,946.321.085-70,44,1979-08-19,"MORRO DAVI LUIZ CORREIA, 38
VILA SÃO PAULO
55361364 FERREIRA DO GALHO / CE",RONDÔNIA
SRTA. JULIA PORTO,502.731.649-61,75,1948-07-21,"DISTRITO ANA LAURA ARAGÃO, 90
JARDIM DO VALE
37050371 BARBOSA / MA",AMAZONAS
ALANA CARDOSO,572.934.018-41,32,1991-04-14,"FAVELA GONÇALVES, 32
CÔNEGO PINHEIRO 1ª SEÇÃO
62579-612 DA COSTA ALEGRE / PR",RIO GRANDE DO NORTE
DAVI LUCAS CARDOSO,805.769.423-83,28,1995-11-15,"VIELA DA PAZ, 92
SERRA
95443238 CORREIA / MT",SÃO PAULO
RAUL SANTOS,315.809.267-03,19,2004-09-11,"LOTEAMENTO EMANUELLY SALES, 135
LETICIA
56249-362 FERNANDES DE PEIXOTO / SP",ALAGOAS
IGOR MELO,261.730.548-17,46,1978-02-03,"FAVELA OLIVEIRA, 67
VILA COPACABANA
91636157 REZENDE / PR",TOCANTINS
JOAQUIM DA COSTA,274.039.856-56,76,1947-08-10,"CONDOMÍNIO CAMPOS, 38
DOM BOSCO
49718775 MELO DE MINAS / SP",AMAPÁ
JOÃO FELIPE FARIAS,936.457.180-01,28,1996-01-11,"ESTAÇÃO MILENA SILVA, 549
BAIRRO DAS INDÚSTRIAS II
77860945 SILVA / PE",MATO GROSSO
MANUELA ALMEIDA,647.251.980-30,75,1949-01-27,"FEIRA ALICE RAMOS, 3
SÃO JOÃO BATISTA
84904729 CAMPOS PAULISTA / PE",ACRE
RYAN ROCHA,248.513.096-51,64,1959-10-25,"PASSARELA NOGUEIRA, 8
CASTELO
08422194 PIRES DE BARROS / PI",Desconhecido
LUNA DA CONCEIÇÃO,935.416.278-91,96,1928-02-19,"CAMPO CAMPOS, 82
SÃO PEDRO
10003961 DA MATA / MA",MATO GROSSO DO SUL
MANUELA SILVA,591.372.846-73,18,2005-09-01,"JARDIM BEATRIZ FARIAS, 11
ACABA MUNDO
79947-311 FARIAS / AL",BAHIA
MARIA VITÓRIA DAS NEVES,761.450.932-34,96,1928-01-05,"LAGOA CAVALCANTI
SAVASSI
46594-913 RIBEIRO DO NORTE / PE",MINAS GERAIS
MARCELA CUNHA,904.312.587-32,45,1978-06-17,"RUA SALES, 4
UNIVERSO
73420661 RODRIGUES DAS PEDRAS / SE",PERNAMBUCO
BRYAN SOUZA,593.410.876-00,66,1958-03-05,"VIADUTO THALES COSTELA, 23
MALA E CUIA
14364-941 FARIAS / BA",MARANHÃO
KEVIN CAVALCANTI,658.107.349-01,48,1976-01-29,"DISTRITO MARIA MORAES, 9
VILA PARIS
34507-199 CARDOSO / PR",SERGIPE
SR. JOÃO GABRIEL MARTINS,794.682.051-85,74,1949-06-14,"ESPLANADA DE MOURA, 95
BOA VIAGEM
73036474 PEREIRA DO OESTE / MA",MATO GROSSO
GABRIELA DA MATA,746.021.835-90,67,1956-06-16,"VIADUTO DE PEIXOTO, 16
INCONFIDÊNCIA
10719-934 DA CRUZ / CE",RORAIMA
SRTA. JÚLIA FERNANDES,650.429.831-98,48,1975-11-19,"CONDOMÍNIO LEANDRO DA MOTA, 20
JATOBÁ
87409412 CAVALCANTI DA MATA / TO",DISTRITO FEDERAL
BÁRBARA SILVEIRA,386.019.472-04,40,1983-12-25,"TREVO CARVALHO
VILA PARAÍSO
27781889 VIEIRA DE CASTRO / RN",RIO DE JANEIRO
VINICIUS JESUS,549.723.618-91,89,1934-12-08,"MORRO DE DUARTE
PINDORAMA
91232749 CUNHA / RS",MINAS GERAIS
SRTA. ALICE PIRES,536.287.940-56,41,1982-07-08,"PRAIA ANA CAROLINA CORREIA, 11
SANTA SOFIA
12204735 ROCHA ALEGRE / RO",CEARÁ
LARA FERREIRA,698.517.304-75,72,1951-10-23,"RODOVIA DE FOGAÇA, 96
LAJEDO
51730-878 CARDOSO DO GALHO / RS",DISTRITO FEDERAL
FELIPE FREITAS,863.410.759-01,98,1925-04-27,"RUA DUARTE, 85
VILA REAL 1ª SEÇÃO
03399083 COSTA DO SUL / AC",DISTRITO FEDERAL
